handle,num_posts,followers,following,created_at,is_recent_account,is_following_ratio_high,has_duplicate_posts
luzarina.bsky.social,1,181,186,2024-08-31T02:31:20.697Z,False,False,False
theoniros.bsky.social,1,39,47,2023-09-01T21:42:18.644Z,False,False,False
sazousa.bsky.social,1,305,210,2023-09-29T04:49:28.019Z,False,False,False
melodramasky.bsky.social,1,263,246,2024-09-01T18:44:35.297Z,False,False,False
visualglitch91.com,3,1500,72,2023-04-21T15:18:13.989Z,False,False,False
morphayna.bsky.social,2,877,607,2024-08-31T17:04:21.403Z,False,False,False
drauziovarella.bsky.social,3,10821,3,2024-09-10T17:21:40.324Z,False,False,False
fbnvrrbztt.bsky.social,2,408,242,2023-05-02T00:52:05.960Z,False,False,False
tinojunior.com.br,4,9212,1,2024-04-08T12:16:48.486Z,False,False,False
carolrodrigues.bsky.social,4,679,257,2023-05-11T13:24:22.406Z,False,False,False
luistrogonoff.bsky.social,4,127,197,2023-12-24T16:13:02.915Z,False,False,False
sisifo09.bsky.social,3,20,16,2025-08-20T20:27:02.697Z,False,False,False
posviatos.bsky.social,1,142,111,2024-09-05T17:13:09.635Z,False,False,False
fetchfeeds.bsky.social,2,336,21,2024-05-09T16:32:46.865Z,False,False,False
rrobs.bsky.social,1,77,56,2024-09-01T21:49:45.501Z,False,False,False
mrsdeschanel.bsky.social,4,639,192,2024-08-30T20:40:42.236Z,False,False,False
galaco.bsky.social,1,697,248,2023-06-23T13:38:28.500Z,False,False,False
correiocb.bsky.social,26,7123,24,2024-08-31T15:44:39.604Z,False,False,False
limaocomvodka.bsky.social,1,1032,219,2023-07-01T19:43:46.215Z,False,False,False
laggy.com.br,2,792,757,2023-07-28T18:22:08.267Z,False,False,False
amandou.bsky.social,2,449,264,2024-04-08T01:00:28.985Z,False,False,False
nervosocobaia.bsky.social,2,3197,1864,2023-08-05T04:38:35.929Z,False,False,False
clovisdemetrio.bsky.social,1,2777,4039,2024-09-01T00:49:54.099Z,False,False,False
mateuspatussi.bsky.social,1,443,276,2023-07-03T23:54:58.631Z,False,False,False
zepicelli.bsky.social,1,1697,741,2023-04-20T21:27:52.210Z,False,False,False
zwera.bsky.social,5,1068,540,2023-06-29T12:06:51.116Z,False,False,False
lumendes.bsky.social,2,967,555,2023-08-22T01:26:18.948Z,False,False,False
