handle,text,is_recent_account,is_following_ratio_high,has_duplicate_posts
maxabramo.bsky.social,"Com as vacinas, vai acontecer nos EUA o q aconteceu no Brasil

O fascista não toma vacina, achando que a vacina mata

E morre, pq não tomou vacina

É um suicídio pela ignorância.

PEC DA BANDIDAGEM NÃO
#globonews #CNNBrasil #JN #JornalNacional #G1 #EmPauta #J10 #NoArNaCBN",False,False,False
lukeastroz2.bsky.social,"Repost - 29/03/2021

MINHA VÓ TOMOU VACINA HJ! yay =3",False,False,False
lucifer.from.legal,"Vale bolsonarar pra falsificar atestado de vacina tb? Se sim, só da covid ou qualquer uma?",False,False,False
lucifer.from.legal,euaenses virando fumantes pra tomar a vacina a partir de agora,False,False,False
lucifer.from.legal,inda bem que eu tomei a vacina e tá uma gripe diet sem glúten e sem lactose,False,False,False
lucifer.from.legal,acabei de ver que vc postou que tomou a vacina já kkkkkk enfim sempre bom avisar que tem a vacina no sus,False,False,False
lucifer.from.legal,"é alguma HxNy, ou várias. é pra ter vacina no sus já!",False,False,False
lucifer.from.legal,"um cara que eu era amiga e até tive um crush muitos anos atrás no auge da pandemia disse que não ia se vacinar pq um conhecido teve algum problema de saúde fortíssimo ""por causa da vacina"" (não foi comprovado) eu simplesmente nunca mais falei com o cara",False,False,False
lucifer.from.legal,"acabei de ter um momento desse na fila da vacina aqui o cara putasso que tão chamando de 10 em 10, chamaram 21 ao 30 e ele bufando E A 34 E 35??????

veyr",False,False,False
lucifer.from.legal,eu & todos os velhos da cidade na fila da vacina,False,False,False
lucifer.from.legal,só queria descobrir se o meu postinho tem vacina de gripe e de covid pois quero combar elas hj e se eu não precisar ir no centro pra tomar as duas facilita minha vida em uns 23%,False,False,False
ma-campelo.bsky.social,"precisamos criar barreiras sanitárias para americanos, essa gente imunda, que cheguem com crianças.

já não tomam vacina contra sarampo e agora deixarão de tomar a tetraviral.",False,False,False
ma-campelo.bsky.social,"né isso
além de financiar uma pesquisa importantíssima e caríssima ainda vai ceder a vacina de graça",False,False,False
ma-campelo.bsky.social,"Bolsonaro é capaz de tudo pra fugir da cadeia.
até de prejudicar um país inteiro estimulando Trump a praticar tarifaço contra nós.
E isso depois de ter matado milhares de brasileiros na pandemia com negacionismo e falta de vacina.
quero que se foda muito",False,False,False
sadgo.bsky.social,"✨ **Descubra Quem Pode Receber a Vacina COVID Este Ano!**  
📝 Uma nova pesquisa revela os critérios de elegibilidade para a vacina COVID-19 de 2023! Está na hora de se informar e entender se você ou alguém próximo pode ser vacinado. Não fique de fora desse importante passo na luta contra o vírus! Cl",False,False,False
sadgo.bsky.social,"✨ Vacina: Seu Coração Agradece! ❤️  
📝 Uma nova pesquisa revela que a vacinação contra a COVID-19 pode reduzir significativamente as complicações cardíacas associadas à doença. Entenda como se proteger e manter seu coração saudável! Clique e descubra mais sobre essa importante descoberta!  
.  
.  
.",False,False,False
sadgo.bsky.social,"✨ Proteja-se do Herpes Zóster: SUS em Avaliação!  
📝 O SUS está considerando a inclusão da vacina contra herpes zóster em seu calendário de imunização. Essa é uma grande oportunidade para fortalecer nossa saúde e bem-estar! Não fique de fora, saiba mais sobre os benefícios dessa vacina e como ela po",False,False,False
sadgo.bsky.social,"✨ Impacto da Vacina COVID: O que Esperar em 2024?  
📝 Um novo estudo revela como a vacina COVID anual pode moldar o futuro da saúde pública! Descubra os efeitos potenciais, a eficácia e o que isso significa para você e sua comunidade. Não fique por fora, clique e saiba mais sobre essa importante pes",False,False,False
claudialyaz.bsky.social,"""Nesse momento está aberta uma consulta pública para avaliar a possibilidade da incorporação da vacina contra o herpes zóster no sistema único de saúde, o SUS. Consulta pública é um espaço aberto para qualquer pessoa participar"".",False,False,False
ohobitinho.bsky.social,Nem digo de qual vacina foi,False,False,False
contagemcorona1.bsky.social,"🔵A vacina contra a poliomielite é fundamental. 

Não acredite em desinformação. 

A vacina é segura e salva vidas!",False,False,True
contagemcorona1.bsky.social,"🔴 Vacina contra herpes-zóster: comissão abre consulta pública sobre inclusão no SUS.

oglobo.globo.com/saude/notici...",False,False,True
contagemcorona1.bsky.social,"🟣ESTADOS UNIDOS

FDA acelera testes de vacina contra o câncer de mama.

www.em.com.br/colunistas/a...",False,False,True
contagemcorona1.bsky.social,"🟣Vacina da covid também protege contra complicações cardíacas da doença.

Cientistas europeus publicaram novo consenso sobre prevenção.

agenciabrasil.ebc.com.br/saude/notici...",False,False,True
contagemcorona1.bsky.social,VACINA SIM!,False,False,True
contagemcorona1.bsky.social,"Vacina contra o HPV pode prevenir alguns tipos de câncer. 

Vacinas salvam vidas!",False,False,True
contagemcorona1.bsky.social,"Atualizar a caderneta de vacinação das crianças garante proteção contra doenças graves e evita o retorno de doenças erradicadas, como a poliomielite. 

Vacina SIM",False,False,True
contagemcorona1.bsky.social,"🟡 SUS terá vacina contra vírus que causa bronquiolite: Quem vai poder tomar?

Leia:

noticias.uol.com.br/saude/ultima...",False,False,True
contagemcorona1.bsky.social,"Criança sem vacina é criança desprotegida. 

Vacinem as crianças!",False,False,True
contagemcorona1.bsky.social,VACINA RIO DE JANEIRO,False,False,True
contagemcorona1.bsky.social,"Vacina contra o HPV pode prevenir alguns tipos de câncer. 

Vacinas salvam vidas!",False,False,True
contagemcorona1.bsky.social,"Não acredite em desinformação antivacina.

Manter a caderneta de vacinação das crianças é um ato de responsabilidade que garante proteção contra doenças graves.

VACINA SIM",False,False,True
contagemcorona1.bsky.social,"🟠Butantan faz manobra de guerra por vacina da gripe até próximo inverno.

www.metropoles.com/sao-paulo/bu...",False,False,True
contagemcorona1.bsky.social,"Vacina contra o HPV pode prevenir alguns tipos de câncer. 

Vacinas salvam vidas!",False,False,True
contagemcorona1.bsky.social,"🟡 Vacina contra vírus da bronquiolite: Quem poderá tomar no SUS.

Saiba mais:

www.terra.com.br/vida-e-estil...",False,False,True
contagemcorona1.bsky.social,"🔵VSR teve aumento de 52% em bebês; vacina contra vírus da bronquiolite chega ao SUS em novembro.

g1.globo.com/saude/notici...",False,False,True
contagemcorona1.bsky.social,"🔴Não acredite em desinformação. 

É falso que o Quênia tenha deixado a OMS e que vacina tinha esterilizante.

Veja mais em noticias.uol.com.br/confere/ulti...",False,False,True
contagemcorona1.bsky.social,"🔵 SUS ofertará vacina contra o vírus sincicial respiratório para gestantes e bebês.

www1.folha.uol.com.br/equilibrioes...",False,False,True
contagemcorona1.bsky.social,"👶💉 Proteção dupla chegando ao SUS!

A partir de novembro, gestantes em todo o Brasil terão acesso à vacina contra o vírus sincicial respiratório (VSR), garantindo imunidade também aos bebês nos primeiros meses de vida.",False,False,True
