index,clean_text
128,deus sabe perrengue lidar mãe idosa asma recebendo fake news dia sim dia vacina dava dava água tônica curava máscara funcionava
129,vou morder sovaco dois tomei vacina conta raiva
130,sim brasil vive epidemia ignorância vacina ensino público qualidade
131,herpes zóster ministério saúde abriu consulta pública discutir incorporação vacina contra herpes zóster programa nacional imunização proposta contempla idosos 80 anos imunocomprometidos partir 18 anos leia trk ebc br qp4lz
132,pílulas diárias vitória justiça servidor oferecida cura gay luigi mangione terrorista vacina vsr produzida brasil cpf sus queda idosos células tronco avc outraspalavras net outrasaude
133,filho nunca tomou vacina filho
134,vacina contra hpv pode prevenir alguns tipos câncer vacinas salvam vidas
135,eua acompanhou bolsonaro negou comprar tal vacina covid fica pergunta idiotas americanos rubio otário
136,tadinho justo imitou pessoas ar justo disse coveiro justo disse gripezinha justo disse messias fazia milagre justo falou pra comprar vacina casa mãe ôôôôô bia fáfávô pra nóis vai catar coquinho
137,perdi primo lá pros 1990 fiapo gente fim vida ainda torço vacina definitiva qualquer passo frente anima
138,atendida médico disse vacina covid tá dando coisas arco velha jovens odeio atendida gente assim outro lado passou direito exames preciso fazer
139,tudo culpa vacina covid
140,amo tomar vacina mim poderiam inventar cura pra todas doenças via vacinação ate gente virar super humano
141,proteja herpes zóster sus avaliação sus considerando inclusão vacina contra herpes zóster calendário imunização grande oportunidade fortalecer saúde bem fique saiba sobre benefícios dessa vacina po
142,bicha 2500 reais vacina absurdo pois torcendo pra chegue tempo
143,achei posto vacina vou lá amanhã
144,amém viu vacina q preciso tomar pro bebê 2 500 particular reza lenda chega sus novembro tomara chegue logo msm dê tempo
145,riu debochou so comprou vacina causa stf propina
146,ir atrás vacina covid vacino desde final 2023
147,aí sai pra vacinar agora pra temporada convenção porto alegre tá falta vacina pra covid gripe
148,sim tudo bati boca alemão perguntei pro cirurgião experiência aplicando vacinas bcg território brasileiro ano 1989 afirmar cicatriz vacina aí melhorado 5 dias antibiótico agora inflamação voltou
149,galera trago notícias talvez amanhã apareça páginas policiais saxônia médico quiser retirar abcesso braço quis início agosto dizer novamente cicatriz vacina bcg vdd marca agulhada dei propositalmente braço
150,ignorância vacinas y antibióticos maiores avanços medicina vacina ato amor
151,atualizei vacina gatas pouco tempo pegou morcego outra atacou dia tomei antitetânica tomem vacina
152,tomei vacina aqui entrou braço parecendo chumbo vacina dolorida
153,vacina 4m atual trabalhando transferir sonecas manhã pra cama invés colo hj dia 2 parece vai rolar hein bebê precisa bem coladinha mim pra relaxar dormir ficar sofá colo to adorando
154,vacina 3m tapete chão virou aliado agora fica boa 2h brincando grande stress tbm carrinho pra passeios começou tolerado braços agradeceram
155,vacina 2m veio cama compartilhada deixou dormir colo sucesso absoluto conje diz achava nunca dormiriamos noite inteira veio aí demais
156,posto saúde pra receber vacina viva sus etc
157,tomei vacina antes vir trabalhar tô sentindo braço pesando 4x normal kkkkkkring
158,digamos q dória meio q redenção esforços vacina tarcísio fundo fundo poço lembro merda q assumiu últimos 2 meses alkimin qdo concorreu presidente q pouco tempo pra incompetente
159,pensando aqui nascido 2020 provavelmente sido levada pra fazer nenhuma vacina
160,vacinas rotina dia lançadas covid pandemia medidas emergenciais tomadas avançar desenvolvimento vacina pode negar doença recuou após início vacinação
161,atualizar caderneta vacinação crianças garante proteção contra doenças graves evita retorno doenças erradicadas poliomielite vacina sim
162,problema deixar gente cheia doença entrar aqui querem matar fiquem fechados naquele muquifo chamam pais pra entrar aqui exigir cartão vacina
163,deputado fdp pois lembro bem pandemia anti vacina jaguara
164,uns meses atrás pedi vacina pro postinho negaram agora europa agente saude vem procurar pra tomar mesma vacina dizendo agr obrigatória podiam ter agilizado vida todo mundo
165,atençãooooooo zé gotinha quer dar recado pode falar zé
166,investigação descobre vacina previne desenvolvimento asma eosinofílica
167,benfica começa perder cada vez mourinho desempregado chamaria vacina vacina cara vacina
168,imunda dar vacina pro povo pandemia covid imunda ir pros eua armar sancionar contra economia imundície aprovar pec blindagem 27 anos bandido cela vai imunda esculacho sâmia bomfim neofascista imunda bia kicis pl
169,mosquitos infectados ajudando brasil enfrentar dengue estratégia combina controle biológico vacina dose única ampliar proteção resistencia2632dias siga bluesky dilmaresiste
170,revolta vacina 1904 reivindicações revolta popular refletiu insatisfação ações autoritárias governo precariedade vida favelas políticas saneamento reforma urbana expulsavam população pobre centro rio janeiro
171,exato desejo viva último dia pena desejo viva bastante enterrar menos 3 filhos viva 1 dia pra cada pessoa morreu porque comprovou vacina último instante consiga ver 700mil rostos
172,pra candidatar tá ótimo histórico atleta bonzão iuuuuhu vacina pros fraco jestki motociata pra cumprir condenação aaaaaai aiaiai baliga hip tô bei cenorinha hip cu preso bafo solto hip unheeee dodói mamain hip isqueci respira dó dieu
173,saúde pública mosquitos infectados ajudando brasil enfrentar dengue estratégia combina controle biológico vacina dose única ampliar proteção revistaforum br saude 2025 9
174,quão distópico pais vende vacina contra doença potencialmente mortal vez distribuir graça quase todo resto mundo
175,aqui matth perdi vozinha grande amor vida poderia ter tido vida salva vacina entendo perfeitamente sinto
176,cheguei suar frio pessoa falando cancer culpa vacina covid
177,deixando médicos intrigados pais apavorados ataques efeito colateral vacina contra hpv envoltos teorias especulações pânico rapidamente alastra escola cidade ameaçando frágil sensação
178,pandemia morreu quantos brasileiros motivos mortes sabotagem vacina
179,irmãos irmãs outros amigos tbm morreram tudo porque bosta seca desse bolsonaro escolheu comprar vacina escolheu propagar notícias verdadeiras escolheu bosta escolheu zombar outros
